order_item_id,order_id,product_id,quantity
1,1,83,4
2,1,11,3
3,1,119,1
4,2,6,2
5,2,112,4
6,2,10,2
7,2,25,3
8,2,103,3
9,3,90,2
10,3,78,4
11,4,100,4
12,4,37,3
13,4,49,3
14,5,103,4
15,6,41,2
16,6,53,2
17,6,6,1
18,7,30,2
19,7,49,4
20,7,73,3
21,8,94,3
22,8,102,2
23,9,83,1
24,9,8,1
25,9,68,1
26,9,5,4
27,9,108,2
28,10,65,3
29,10,59,1
30,11,53,3
31,11,2,3
32,11,3,1
33,11,68,4
34,11,93,2
35,12,68,4
36,12,33,1
37,12,105,3
38,12,46,4
39,12,35,4
40,13,52,4
41,14,64,4
42,15,116,4
43,15,112,3
44,16,85,3
45,16,5,1
46,16,23,2
47,16,119,2
48,16,109,4
49,17,87,4
50,17,115,2
51,17,70,1
52,17,43,3
53,18,99,3
54,18,79,1
55,18,77,3
56,18,51,4
57,18,100,4
58,19,88,4
59,19,75,1
60,20,11,3
61,21,47,1
62,21,14,3
63,21,12,4
64,22,12,4
65,22,24,4
66,23,12,4
67,23,77,1
68,23,101,3
69,23,42,4
70,23,111,4
71,24,18,3
72,24,35,3
73,25,56,4
74,25,36,3
75,26,77,1
76,26,79,2
77,26,26,3
78,26,59,1
79,27,43,2
80,27,56,3
81,27,105,3
82,27,106,2
83,28,95,4
84,28,89,2
85,28,82,3
86,29,120,2
87,30,103,1
88,30,38,4
89,30,107,4
90,30,89,2
91,31,10,4
92,31,58,4
93,31,77,1
94,31,62,3
95,32,85,3
96,32,86,2
97,33,2,1
98,34,72,4
99,34,75,3
100,34,89,4
101,34,74,4
102,34,29,2
103,35,15,2
104,36,101,3
105,36,27,4
106,36,67,1
107,36,62,4
108,37,3,3
109,38,71,3
110,38,21,4
111,39,51,2
112,39,4,4
113,39,95,4
114,39,79,4
115,40,14,3
116,40,103,3
117,40,112,2
118,40,69,4
119,40,24,1
120,41,79,3
121,41,51,3
122,41,76,4
123,41,15,2
124,42,31,3
125,43,54,4
126,43,77,4
127,43,18,2
128,43,74,4
129,44,24,4
130,44,41,1
131,45,72,4
132,45,65,4
133,45,84,4
134,45,64,4
135,46,5,3
136,46,36,2
137,46,29,4
138,47,106,4
139,47,47,2
140,47,70,4
141,47,97,1
142,47,6,2
143,48,57,1
144,49,22,2
145,49,79,2
146,49,18,1
147,49,101,3
148,50,74,1
149,50,35,2
150,50,110,4
151,51,19,3
152,51,92,2
153,52,58,1
154,52,10,4
155,52,82,3
156,52,102,3
157,53,1,1
158,53,112,4
159,53,100,3
160,53,109,1
161,53,94,4
162,54,42,3
163,54,107,2
164,54,37,4
165,55,13,4
166,56,1,2
167,56,55,3
168,56,26,2
169,56,89,3
170,57,48,2
171,58,84,1
172,58,12,2
173,58,91,4
174,58,13,1
175,59,90,3
176,60,30,4
177,61,48,2
178,61,113,4
179,61,39,2
180,62,57,2
181,62,45,2
182,63,76,4
183,64,83,3
184,64,11,1
185,64,32,3
186,65,101,2
187,66,10,3
188,66,68,2
189,66,114,4
190,66,2,4
191,66,47,3
192,67,3,1
193,68,119,1
194,69,90,2
195,69,52,3
196,69,11,1
197,69,82,3
198,70,69,4
199,70,42,1
200,71,12,4
201,71,119,1
202,72,91,2
203,73,101,3
204,73,106,2
205,73,93,3
206,73,34,1
207,73,22,1
208,74,81,3
209,74,10,1
210,74,64,4
211,74,59,2
212,74,66,3
213,75,30,1
214,76,118,1
215,76,20,4
216,76,23,2
217,76,120,3
218,77,74,3
219,78,52,1
220,79,2,3
221,79,48,2
222,79,26,4
223,79,38,3
224,80,120,4
225,81,1,4
226,81,98,3
227,81,85,1
228,82,92,1
229,82,36,1
230,83,75,1
231,84,76,1
232,85,34,4
233,85,109,3
234,85,41,3
235,86,100,1
236,86,99,2
237,87,16,2
238,87,69,4
239,87,46,3
240,87,99,4
241,88,6,2
242,88,28,1
243,88,107,2
244,88,110,3
245,88,42,4
246,89,110,2
247,89,58,1
248,89,72,4
249,89,96,1
250,90,26,4
251,90,106,3
252,91,26,4
253,92,60,1
254,93,49,4
255,94,36,2
256,94,58,1
257,95,8,2
258,95,12,4
259,95,36,2
260,95,50,2
261,96,101,3
262,96,63,4
263,96,45,3
264,96,117,2
265,96,73,1
266,97,8,3
267,97,104,2
268,97,61,2
269,98,105,2
270,98,102,4
271,98,118,3
272,98,95,2
273,98,8,2
274,99,91,3
275,100,23,1
276,100,63,1
277,100,5,2
278,101,118,2
279,101,79,3
280,101,26,2
281,102,100,3
282,102,15,1
283,103,21,4
284,103,94,4
285,104,105,3
286,104,23,2
287,104,49,2
288,104,40,1
289,104,94,4
290,105,82,1
291,105,73,4
292,106,82,1
293,106,114,3
294,107,45,3
295,108,22,4
296,108,114,3
297,108,53,4
298,108,64,1
299,109,21,1
300,109,58,1
301,110,22,2
302,110,114,1
303,110,49,1
304,111,78,4
305,111,114,2
306,112,25,3
307,112,53,3
308,113,71,3
309,113,108,1
310,113,63,4
311,113,20,1
312,113,7,3
313,114,4,2
314,115,101,4
315,115,51,3
316,115,61,1
317,116,58,3
318,116,6,4
319,117,20,1
320,118,108,4
321,119,61,1
322,119,39,4
323,120,19,2
324,120,16,2
325,120,97,2
326,120,58,2
327,120,23,1
328,121,41,1
329,121,117,1
330,121,94,4
331,122,118,4
332,122,112,1
333,122,2,4
334,122,101,2
335,123,113,4
336,123,45,4
337,123,53,1
338,123,34,2
339,123,50,3
340,124,114,2
341,124,113,1
342,124,43,4
343,124,89,3
344,125,108,1
345,125,63,2
346,125,110,2
347,126,78,4
348,126,83,2
349,126,12,4
350,126,25,4
351,127,91,2
352,127,65,1
353,127,52,2
354,128,59,1
355,129,51,1
356,129,82,2
357,129,119,3
358,129,16,4
359,129,88,4
360,130,45,1
361,130,21,3
362,130,108,1
363,130,115,4
364,130,34,1
365,131,84,1
366,131,53,1
367,131,66,4
368,132,78,3
369,132,104,4
370,132,40,4
371,133,87,4
372,133,67,1
373,133,106,1
374,134,78,4
375,134,37,1
376,134,39,3
377,134,88,3
378,134,14,3
379,135,116,4
380,135,8,3
381,136,117,4
382,136,54,1
383,136,52,2
384,137,39,2
385,137,109,3
386,137,22,1
387,137,108,4
388,137,85,2
389,138,46,3
390,138,29,4
391,139,61,1
392,140,65,4
393,140,16,3
394,141,26,4
395,141,44,4
396,142,43,1
397,142,81,1
398,142,23,4
399,142,41,3
400,143,17,4
401,144,62,2
402,144,50,3
403,144,1,1
404,144,5,3
405,145,81,2
406,146,65,1
407,146,76,1
408,146,40,3
409,146,22,3
410,147,46,4
411,147,97,1
412,147,25,2
413,147,22,2
414,148,22,1
415,148,16,4
416,148,47,3
417,148,92,1
418,148,84,1
419,149,49,4
420,149,16,2
421,149,71,2
422,149,33,1
423,150,35,4
424,150,80,1
425,150,78,1
426,150,90,3
427,150,18,1
428,151,26,2
429,151,46,1
430,151,91,4
431,151,53,2
432,151,38,4
433,152,107,4
434,153,116,3
435,154,13,2
436,155,103,4
437,155,87,1
438,155,41,1
439,156,46,3
440,156,115,1
441,156,57,3
442,157,35,4
443,157,107,4
444,157,50,2
445,157,89,1
446,158,54,4
447,159,4,2
448,159,111,4
449,159,88,4
450,159,113,1
451,159,108,4
452,160,91,2
453,161,85,4
454,161,87,2
455,161,83,1
456,162,110,1
457,162,64,4
458,162,112,3
459,162,22,2
460,163,52,4
461,163,105,4
462,163,31,4
463,163,11,1
464,164,52,4
465,165,82,2
466,165,39,4
467,165,114,3
468,165,66,3
469,165,72,1
470,166,15,2
471,166,13,1
472,166,98,3
473,166,85,3
474,167,64,4
475,167,18,1
476,168,59,2
477,168,106,3
478,169,16,2
479,169,99,4
480,169,115,1
481,169,58,1
482,169,59,4
483,170,50,3
484,171,44,2
485,171,38,2
486,171,58,4
487,171,104,3
488,172,88,2
489,172,45,2
490,172,118,3
491,173,86,3
492,173,91,4
493,173,54,1
494,173,87,1
495,173,96,1
496,174,97,3
497,174,101,3
498,174,21,2
499,175,14,2
500,175,79,4
501,175,112,2
502,175,87,3
503,176,7,4
504,176,2,2
505,176,96,3
506,176,33,2
507,176,26,2
508,177,95,1
509,177,66,4
510,178,75,3
511,178,109,1
512,179,119,1
